"gene_symbol","log2FoldChange","padj","baseMean","regulation","ensembl_id"
"GALNT10",1.1067442145793,1.2956336984092e-05,1027.88571428571,"Up-regulated","ENSG00000164574"
"CD83",1.10627269682196,0.00143972480836914,116.4,"Up-regulated","ENSG00000112149"
"ELOVL6",1.09862524279335,0.0142172493547725,124.457142857143,"Up-regulated","ENSG00000170522"
"MGAT5",1.09141535428523,8.7279172362091e-06,742.257142857143,"Up-regulated","ENSG00000152127"
"MAN2B1",1.08761903792876,0.00292940984953199,1267.71428571429,"Up-regulated","ENSG00000104774"
"PECAM1",1.08205060416124,0.000291035866790543,10921.6571428571,"Up-regulated","ENSG00000261371"
"FGF7",1.07634966691529,0.0198764012925312,572.771428571428,"Up-regulated","ENSG00000140285"
"GBGT1",1.04107018866441,0.000624771715965821,140.542857142857,"Up-regulated","ENSG00000148288"
"TRAM2",1.03897814356442,0.000151537725794608,1133.71428571429,"Up-regulated","ENSG00000065308"
"EXT1",1.03875800402903,3.14674014852703e-05,773.114285714286,"Up-regulated","ENSG00000182197"
"CHST15",1.0348304757635,6.64237357552154e-05,1145.34285714286,"Up-regulated","ENSG00000182022"
"EPM2A",-1.03139643689725,0.038394308994316,3259.17142857143,"Down-regulated","ENSG00000112425"
"CHST14",1.03011114918547,0.000698804130821094,423.485714285714,"Up-regulated","ENSG00000169105"
"PKD2",1.02648910647162,2.08615426539909e-05,1308.45714285714,"Up-regulated","ENSG00000118762"
"TGFBR3",1.01987909025295,0.010238703982749,2252.08571428571,"Up-regulated","ENSG00000069702"
"AMDHD2",1.01094069508217,0.000850380622942538,383.142857142857,"Up-regulated","ENSG00000162066"
"CD302",1.01034033652401,0.00693349873302511,215.085714285714,"Up-regulated","ENSG00000241399"
"ANXA4",1.00579385668062,0.00077633552849368,1399.94285714286,"Up-regulated","ENSG00000196975"
"SV2A",1.00361987818237,0.0257222551778238,65.9428571428572,"Up-regulated","ENSG00000159164"
"P3H2",0.998890071190817,0.00608847392465176,145.657142857143,"Up-regulated","ENSG00000090530"
"ST3GAL1",-0.994920220914317,0.00906511398889629,4464.28571428571,"Down-regulated","ENSG00000008513"
